Date,Bank rate,Target for the overnight rate
2004-01-20,2.75,2.5
2004-03-02,2.5,2.25
2004-04-13,2.25,2
2004-09-08,2.5,2.25
2004-10-19,2.75,2.5
2005-09-07,3,2.75
2005-10-18,3.25,3
2005-12-06,3.5,3.25
2006-01-24,3.75,3.5
2006-03-07,4,3.75
2006-04-25,4.25,4
2006-05-24,4.5,4.25
2007-07-10,4.75,4.5
2007-12-04,4.5,4.25
2008-01-22,4.25,4
2008-03-04,3.75,3.5
2008-04-22,3.25,3
2008-10-08,2.75,2.5
2008-10-21,2.5,2.25
2008-12-09,1.75,1.5
2009-01-20,1.25,1
2009-03-03,0.75,0.5
2009-04-21,0.5,0.25
2010-06-01,0.75,0.5
2010-07-20,1,0.75
2010-09-08,1.25,1
2015-01-21,1,0.75
2015-07-15,0.75,0.5
2017-07-12,1,0.75
2017-09-06,1.25,1
2018-01-17,1.5,1.25
2018-07-11,1.75,1.5
2018-10-24,2,1.75
2020-03-04,1.5,1.25
2020-03-16,1,0.75
2020-03-27,0.5,0.25
2022-03-03,0.75,0.5
2022-04-14,1.25,1
2022-06-02,1.75,1.5
2022-07-14,2.75,2.5
2022-09-08,3.5,3.25
2022-10-27,4,3.75
2022-12-08,4.5,4.25
2023-01-26,4.75,4.5
